name,ring,quadrant,isNew,description
Linux,Adopt,Languages and Platforms,FALSE,
Kubernetes,Adopt,Languages and Platforms,FALSE,
Scala,Adopt,Languages and Platforms,FALSE,
Kotlin,Adopt,Languages and Platforms,FALSE,
Java,Adopt,Languages and Platforms,FALSE,
Hadoop,Adopt,Languages and Platforms,FALSE,
Helm,Adopt,Languages and Platforms,FALSE,
Python,Adopt,Languages and Platforms,FALSE,
ArenaData Hadoop,Hold,Languages and Platforms,FALSE,
Hive,Adopt,Database Management Systems,FALSE,
ElasticSearch,Adopt,Database Management Systems,FALSE,
Kafka,Adopt,Database Management Systems,FALSE,
Prometheus,Adopt,Database Management Systems,FALSE,
Postgresql,Adopt,Database Management Systems,FALSE,
Clickhouse,Adopt,Database Management Systems,TRUE,
Spark,Adopt,Libraries and Frameworks,FALSE,
Nifi,Adopt,Libraries and Frameworks,FALSE,
Airflow,Adopt,Libraries and Frameworks,FALSE,
Dbt (Data build tool),Adopt,Libraries and Frameworks,TRUE,
Spring Framework,Adopt,Libraries and Frameworks,FALSE,
Snowplow,Adopt,Libraries and Frameworks,TRUE,
Flink,Assess ,Libraries and Frameworks,TRUE,
LinkedIn DataHub Project,Assess ,Infrastructure and Tools,TRUE,
OpenLineage,Assess ,Infrastructure and Tools,TRUE,
Metabase,Assess ,Infrastructure and Tools,TRUE,
Superset,Assess ,Infrastructure and Tools,TRUE,
Qlik Sense,Adopt ,Infrastructure and Tools,TRUE,
Jupyter,Trial ,Infrastructure and Tools,TRUE,
Zeppelin,Adopt,Infrastructure and Tools,FALSE,
Nexus,Adopt,Infrastructure and Tools,FALSE,
Docker,Adopt,Infrastructure and Tools,FALSE,
Apache Ranger,Assess,Infrastructure and Tools,TRUE,
Grafana,Adopt,Infrastructure and Tools,FALSE,
Kibana,Adopt,Infrastructure and Tools,FALSE,
GitLab Premium,Adopt,Infrastructure and Tools,FALSE,
Atlassian Jira,Adopt,Infrastructure and Tools,FALSE,
Lens,Adopt,Infrastructure and Tools,FALSE,
Atlassian Confluence,Adopt,Infrastructure and Tools,FALSE,
Hue,Adopt,Infrastructure and Tools,FALSE,
